"member","ess_min","stable_share_min","block_exog_max","converged_all","sanity_all","no_lookahead","reproducible"
"small_minn",619.419236122235,0.99,1.17492455800147e-05,TRUE,TRUE,TRUE,TRUE
"small_ss",648.916232047041,0.986666666666667,1.15420930384586e-05,TRUE,TRUE,TRUE,TRUE
"small_sv",75.6979612360408,1,0,TRUE,TRUE,TRUE,TRUE
"small_loose_p5",570.581519578628,0.953333333333333,1.41170833135724e-05,TRUE,TRUE,TRUE,TRUE
"medium_minn",125.355278577571,1,0,TRUE,TRUE,TRUE,TRUE
"medium_conj",1000,1,0,TRUE,TRUE,TRUE,TRUE
"small_tight",1000,1,0,TRUE,TRUE,TRUE,TRUE
"rw",Inf,1,0,TRUE,TRUE,TRUE,TRUE
"ar4",Inf,1,0,TRUE,TRUE,TRUE,TRUE
"ucsv",16.0202038418538,1,0,TRUE,TRUE,TRUE,TRUE
"ucmean",Inf,1,0,TRUE,TRUE,TRUE,TRUE
